#Keyword Types: 124
#Keyword Tokens: 12450
#Search Hits: 0
1	206	+	909.12	0.0059	romney
2	201	+	204.34	0.0057	sure
3	267	+	136.9	0.0076	governor
4	134	+	126.54	0.0038	middle
5	81	+	121.59	0.0023	businesses
6	54	+	108.75	0.0016	crosstalk
7	24	+	107.31	0.0007	candy
8	23	+	102.84	0.0007	mitt
9	27	+	101.9	0.0008	ryan
10	112	+	100.16	0.0032	number
11	287	+	95.76	0.0081	make
12	84	+	91.65	0.0024	small
13	80	+	86.65	0.0023	class
14	37	+	84.39	0.0011	obamacare
15	32	+	81.81	0.0009	deductions
16	467	+	77.8	0.0129	re
17	22	+	76.95	0.0006	martha
18	161	+	75.13	0.0046	jobs
19	61	+	74.82	0.0018	china
20	500	+	72.99	0.0138	what
21	68	+	72.82	0.002	trillion
22	579	+	70.09	0.0158	they
23	26	+	69.54	0.0007	congressman
24	292	+	67.63	0.0082	get
25	15	+	67.07	0.0004	dodd
26	1633	+	65.85	0.0398	we
27	91	+	63.97	0.0026	medicare
28	224	+	55.93	0.0063	let
29	397	+	54.75	0.011	going
30	1055	+	54.66	0.0273	s
31	33	+	54.16	0.0009	gas
32	12	+	53.65	0.0003	asad
33	17	+	53.56	0.0005	voucher
34	20	+	46.52	0.0006	math
35	274	+	44.39	0.0077	said
36	34	+	43.94	0.001	syria
37	20	+	42.22	0.0006	libya
38	37	+	41.46	0.0011	sanctions
39	15	+	41.13	0.0004	frank
40	121	+	40.38	0.0035	cut
41	9	+	40.24	0.0003	bowles
42	9	+	40.24	0.0003	crippling
43	9	+	40.24	0.0003	regards
44	41	+	39.82	0.0012	lower
45	14	+	39.52	0.0004	currency
46	10	+	38.23	0.0003	benghazi
47	66	+	38.01	0.0019	place
48	26	+	37.58	0.0007	region
49	44	+	37.35	0.0013	folks
50	8	+	35.77	0.0002	denver
51	129	+	35.39	0.0037	percent
52	169	+	35.18	0.0048	here
53	25	+	34.96	0.0007	weapon
54	513	+	34.07	0.014	not
55	17	+	33.91	0.0005	green
56	61	+	32.66	0.0017	income
57	39	+	32.44	0.0011	idea
58	102	+	32.15	0.0029	economy
59	267	+	32.14	0.0075	when
60	13	+	32.02	0.0004	detroit
61	13	+	32.02	0.0004	inaudible
62	69	+	31.91	0.002	energy
63	26	+	31.81	0.0007	pakistan
64	23	+	31.32	0.0007	qaida
65	23	+	31.32	0.0007	segment
66	7	+	31.3	0.0002	jeremy
67	7	+	31.3	0.0002	slower
68	38	+	30.94	0.0011	israel
69	21	+	30.75	0.0006	investments
70	19	+	30.43	0.0005	loopholes
71	9	+	30.26	0.0003	preexisting
72	52	+	29.89	0.0015	companies
73	128	+	29.73	0.0036	look
74	80	+	29.54	0.0023	able
75	13	+	28.89	0.0004	transition
76	15	+	28.87	0.0004	ultimately
77	254	+	28.48	0.0071	want
78	11	+	28.46	0.0003	stamps
79	56	+	28.31	0.0016	deficit
80	51	+	28.01	0.0015	actually
81	515	+	27.65	0.014	are
82	9	+	27.42	0.0003	afghans
83	29	+	27.2	0.0008	workers
84	6	+	26.83	0.0002	extremism
85	6	+	26.83	0.0002	lorraine
86	187	+	26.02	0.0053	us
87	7	+	25.49	0.0002	bashar
88	7	+	25.49	0.0002	bibi
89	7	+	25.49	0.0002	crushed
90	56	+	25.35	0.0016	iran
91	18	+	25.23	0.0005	revenue
92	43	+	24.69	0.0012	reason
93	21	+	24.39	0.0006	principles
94	14	+	23.76	0.0004	bankrupt
95	82	+	23.68	0.0023	military
96	20	+	23.29	0.0006	advantage
97	27	+	23.14	0.0008	okay
98	127	+	23.07	0.0036	down
99	17	+	22.67	0.0005	hire
100	25	+	22.36	0.0007	overseas
101	5	+	22.35	0.0001	manipulator
102	5	+	22.35	0.0001	spontaneous
103	5	+	22.35	0.0001	tumult
104	7	+	22.21	0.0002	exemptions
105	7	+	22.21	0.0002	timeline
106	65	+	22.05	0.0019	making
107	62	+	21.98	0.0018	saying
108	10	+	21.79	0.0003	egypt
109	9	+	21.41	0.0003	devastating
110	8	+	21.4	0.0002	attractive
111	8	+	21.4	0.0002	stimulus
112	6	+	21.31	0.0002	licenses
113	91	+	21.17	0.0026	million
114	37	+	21.12	0.0011	rates
115	145	+	20.82	0.0041	how
116	235	+	20.56	0.0066	more
117	47	+	20.53	0.0013	cuts
118	15	+	20.52	0.0004	regulation
119	24	+	20.37	0.0007	board
120	22	+	20.06	0.0006	massachusetts
121	39	+	20.02	0.0011	college
122	20	+	19.88	0.0006	production
123	7	+	19.76	0.0002	marketplace
124	39	+	19.46	0.0011	comes
