#Keyword Types: 31
#Keyword Tokens: 5326
#Search Hits: 0
1	224	+	108.69	0.0049	obama
2	508	+	83.48	0.0111	government
3	123	+	71.11	0.0027	ford
4	134	+	64.44	0.0029	kennedy
5	353	+	63.41	0.0077	taxes
6	230	+	55.01	0.005	clinton
7	79	+	39.12	0.0017	opponent
8	389	+	37.37	0.0085	senator
9	55	+	35.45	0.0012	democrat
10	90	+	34.37	0.002	friends
11	91	+	32.37	0.002	concerned
12	47	+	29.23	0.001	obamacare
13	20	+	28.23	0.0004	nice
14	107	+	27.64	0.0023	hillary
15	66	+	27.12	0.0014	mondale
16	39	+	25.35	0.0009	return
17	74	+	25.25	0.0016	texas
18	36	+	24.54	0.0008	disaster
19	93	+	24.14	0.002	bad
20	40	+	24.1	0.0009	rich
21	17	+	24	0.0004	pork
22	53	+	23.48	0.0012	liberal
23	51	+	23.32	0.0011	tremendous
24	1464	+	23.21	0.0312	people
25	56	+	22.96	0.0012	capital
26	16	+	22.59	0.0004	delivered
27	16	+	22.59	0.0004	unborn
28	211	+	22.12	0.0046	spending
29	381	+	21.98	0.0083	percent
30	160	+	21.01	0.0035	place
31	103	+	21	0.0023	coming
