Everyone but Trump
Counts of Adjectives
Word	Count

that	3712
many	343
our	2941
internal	13
tremendous	36
international	73
deadly	10
only	138
his	847
national	245
last	556
lowest	39
industrial	23
highest	65
More	19
famous	8
true	144
electric	9
half	52
more	1039
previous	56
hydroelectric	3
same	390
gross	20
total	37
its	170
average	64
your	816
much	193
net	13
good	593
enough	102
own	343
which	896
other	705
various	26
new	514
What	12
educational	17
their	1260
equal	50
necessary	83
dear	6
medical	65
present	49
old	111
adequate	36
better	372
whatever	75
eh-	2
wonderful	36
past	51
all	418
spe-	1
federal	177
Democratic	83
Republican	133
most	119
right	385
creative	7
free	208
motive	1
final	28
poor	77
unfortunate	17
sincere	4
unemployed	21
difficult	93
my	1439
foreign	233
first	388
separate	21
inter	1
American	880
South	3
Hungarian	4
effective	73
facetious	1
improper	1
official	6
what	41
legislative	15
great	366
major	131
His	42
different	201
executive	25
possible	101
natural	42
cruel	2
very	27
older	18
best	258
glad	57
able	364
least	56
higher	85
bad	92
local	81
massive	28
My	212
potential	14
eventual	1
greatest	73
little	197
such	105
particular	41
special	90
extreme	19
convinced	15
alternate	5
next	287
cold	19
alert	3
essential	43
fair	105
few	135
fellow	16
biggest	94
individual	27
private	179
well	8
whole	145
obvious	14
lower	73
absolute	8
fanatical	2
greater	49
worth	35
Our	140
several	73
retired	3
unable	9
Good	11
rare	4
important	483
simple	40
Communist	26
certain	88
strong	326
firm	21
successful	58
fatal	3
willing	73
extra	40
correct	23
wrong	242
ruthless	2
strongest	44
military	194
complacent	2
confident	20
economic	301
diplomatic	37
proud	123
captive	1
dangers-	1
irresponsible	6
open	33
civil	61
worse	49
Guatemalan	1
significant	45
Cuban	11
inappropriate	8
inadequate	2
ra-	1
aware	12
public	211
high	193
presidential	38
second	74
Soviet	43
worst	64
crowded	1
hungry	14
clear	170
dead	31
underground	2
peaceful	23
atomic	26
specific	47
ambassadorial	2
reasonable	26
insur-	1
rigid	2
inflexible	1
phony	8
precise	4
independent	47
alive	19
complete	29
fundamental	87
offshore	15
consistent	30
unanimous	1
slum	2
like	26
pat	2
splendid	1
fine	37
bigger	48
permanent	17
deepest	5
young	228
atheistic	2
happy	60
united	9
Chinese	24
incorrect	6
Nationalist	2
heavy	17
preliminary	7
inevitable	3
determined	10
tragic	16
sure	553
former	57
valid	3
constant	8
key	35
largest	59
religious	45
racial	33
big	229
basic	63
compulsory	5
collective	5
less	133
critical	47
terrible	37
white	19
agricultural	18
fantastic	8
political	117
satisfied	18
non	9
back	7
distressed	3
scientific	5
straight	10
rich	50
opposite	6
balanced	89
fiscal	36
concerned	69
concerted	3
helpful	9
primitive	1
Its	3
advan-	1
proper	30
surprised	18
direct	29
defeatist	1
statutory	1
real	162
active	20
Southern	1
Northern	1
Western	8
aggressive	26
eloquent	2
low	80
technical	16
mutual	15
technological	7
ideological	5
disastrous	2
depressed	4
full	76
recessionary	3
sound	48
loose	13
appropriate	25
careful	23
disgraceful	4
impossible	11
perfect	16
accurate	22
harmful	4
indefensible	5
unimportant	1
woolly	1
long	194
fun	2
historic	11
ambitious	2
liberal	65
professional	8
ever-	1
inflationary	15
indoor	3
constitutional	36
positive	38
everyday	4
responsible	74
organizational	1
pleased	19
quick	19
honest	23
courageous	7
attractive	12
tough	145
retrospect	1
elder	1
small	227
nervous	3
corporate	30
illegal	37
tired	8
monetary	8
serious	111
median	5
powerful	40
responsive	5
yeoman	1
single	113
large	33
secret	15
personal	80
thankful	7
nice	11
hard	112
Their	25
Polish	2
favorable	5
Italian	1
Eastern	10
privy	2
sudden	10
absent	6
honorable	5
Democrat	3
whose	32
cruelest	2
sick	29
disabled	13
unparalleled	1
safe	121
kind	7
alone	6
harder	9
outstanding	18
tall	5
seventh	4
original	9
10th	5
slowest	4
stagnant	2
poignant	1
senior	47
eligible	13
regulatory	17
short	35
frivolous	9
punitive	4
Whatever	5
enforceable	3
selective	3
bipartisan	67
sophisticated	5
vulnerable	15
instant	11
underway	3
bottom	27
nuclear	348
Korean	6
closed	5
tougher	17
easier	15
firmer	1
fairer	7
flatter	3
Most	17
uninsured	19
stronger	74
loyal	2
unconditional	2
extremist	4
middle	242
excited	9
Your	30
