#Keyword Types: 185
#Keyword Tokens: 1094194
#Search Hits: 0
1	85506	+	4081.59	0.1206	in
2	79875	+	3803.38	0.1131	nn
3	68267	+	3233.78	0.0975	prp
4	66296	+	3137.58	0.0948	dt
5	47911	+	2247.45	0.0694	nnp
6	44766	+	2096.46	0.065	to
7	36591	+	1705.76	0.0535	vb
8	34646	+	1613.17	0.0507	jj
9	34547	+	1608.46	0.0506	rb
10	33290	+	1548.71	0.0488	the
11	31734	+	1474.83	0.0465	vbp
12	31480	+	1462.77	0.0462	nns
13	24409	+	1128.25	0.036	cc
14	20237	+	931.8	0.0299	vbz
15	19126	+	879.6	0.0283	and
16	16346	+	749.21	0.0242	that
17	15845	+	725.74	0.0235	vbd
18	14992	+	685.82	0.0223	i
19	14964	+	684.51	0.0222	of
20	13073	+	596.12	0.0194	vbn
21	12916	+	588.78	0.0192	a
22	12594	+	573.75	0.0187	we
23	12398	+	564.6	0.0184	vbg
24	12101	+	550.75	0.018	md
25	10150	+	459.82	0.0151	cd
26	9319	+	421.16	0.0139	you
27	8622	+	388.75	0.0129	it
28	7960	+	358.01	0.0119	s
29	7439	+	346.12	0.0111	is
30	7293	+	327.06	0.0109	have
31	5924	+	263.64	0.0089	for
32	5165	+	228.56	0.0077	wp
33	4768	+	210.23	0.0071	do
34	4713	+	207.69	0.0071	this
35	4411	+	193.76	0.0066	on
36	4053	+	188.34	0.0061	t
37	4226	+	185.24	0.0063	wrb
38	3926	+	182.43	0.0059	are
39	4097	+	179.3	0.0061	n
40	3989	+	174.32	0.006	president
41	3979	+	173.86	0.006	wdt
42	3893	+	169.91	0.0058	not
43	3846	+	167.74	0.0058	be
44	3842	+	167.56	0.0058	they
45	3772	+	164.34	0.0056	with
46	3508	+	152.2	0.0053	our
47	3482	+	151.01	0.0052	he
48	3458	+	149.9	0.0052	but
49	3021	+	140.33	0.0045	was
50	3199	+	138.01	0.0048	what
51	3081	+	132.6	0.0046	people
52	3014	+	129.53	0.0045	rp
53	2906	+	124.58	0.0044	re
54	2898	+	124.21	0.0043	as
55	2842	+	121.65	0.0043	mr
56	2590	+	120.29	0.0039	ve
57	2568	+	119.27	0.0038	going
58	2695	+	114.92	0.004	about
59	2636	+	112.22	0.0039	there
60	2607	+	110.89	0.0039	think
61	2340	+	108.67	0.0035	has
62	2548	+	108.2	0.0038	jjr
63	2510	+	106.46	0.0038	would
64	2448	+	103.63	0.0037	will
65	2294	+	96.6	0.0034	if
66	2237	+	94	0.0034	all
67	2232	+	93.77	0.0033	so
68	2223	+	93.36	0.0033	nnps
69	2147	+	89.9	0.0032	can
70	2113	+	88.35	0.0032	now
71	2048	+	85.4	0.0031	one
72	2041	+	85.08	0.0031	pos
73	2016	+	83.94	0.003	at
74	1796	+	83.39	0.0027	been
75	1715	+	79.63	0.0026	said
76	1917	+	79.44	0.0029	who
77	1866	+	77.13	0.0028	ex
78	1833	+	75.63	0.0027	because
79	1833	+	75.63	0.0027	my
80	1572	+	72.98	0.0024	an
81	1771	+	72.82	0.0027	when
82	1770	+	72.77	0.0027	by
83	1753	+	72	0.0026	or
84	1707	+	69.92	0.0026	want
85	1681	+	68.74	0.0025	get
86	1644	+	67.06	0.0025	more
87	1435	+	66.62	0.0022	m
88	1579	+	64.13	0.0024	your
89	1577	+	64.04	0.0024	out
90	1372	+	63.69	0.0021	had
91	1562	+	63.36	0.0023	from
92	1352	+	62.76	0.002	years
93	1537	+	62.23	0.0023	just
94	1528	+	61.82	0.0023	senator
95	1515	+	61.24	0.0023	me
96	1506	+	60.83	0.0023	up
97	1499	+	60.51	0.0022	know
98	1488	+	60.02	0.0022	make
99	1471	+	59.25	0.0022	their
100	1274	+	59.14	0.0019	did
101	1466	+	59.03	0.0022	them
102	1450	+	58.3	0.0022	country
103	1237	+	57.42	0.0019	those
104	1188	+	55.15	0.0018	got
105	1378	+	55.06	0.0021	very
106	1151	+	53.43	0.0017	were
107	1334	+	53.08	0.002	well
108	1294	+	51.29	0.0019	governor
109	1279	+	50.61	0.0019	question
110	1277	+	50.52	0.0019	jjs
111	1266	+	50.03	0.0019	let
112	1246	+	49.13	0.0019	go
113	1244	+	49.04	0.0019	tax
114	1041	+	48.32	0.0016	states
115	1216	+	47.79	0.0018	time
116	1207	+	47.39	0.0018	us
117	1176	+	46	0.0018	say
118	989	+	45.91	0.0015	these
119	1164	+	45.46	0.0017	lrb
120	1164	+	45.46	0.0017	rrb
121	970	+	45.02	0.0015	united
122	1145	+	44.61	0.0017	some
123	1139	+	44.34	0.0017	america
124	1135	+	44.16	0.0017	no
125	1133	+	44.08	0.0017	right
126	1117	+	43.36	0.0017	american
127	923	+	42.84	0.0014	ll
128	1090	+	42.16	0.0016	which
129	1069	+	41.22	0.0016	like
130	1034	+	39.66	0.0016	bush
131	1015	+	38.82	0.0015	first
132	1004	+	38.33	0.0015	should
133	999	+	38.1	0.0015	here
134	997	+	38.02	0.0015	his
135	991	+	37.75	0.0015	believe
136	991	+	37.75	0.0015	world
137	811	+	37.64	0.0012	also
138	966	+	36.64	0.0014	than
139	953	+	36.06	0.0014	way
140	931	+	35.09	0.0014	how
141	748	+	34.72	0.0011	jobs
142	912	+	34.25	0.0014	need
143	909	+	34.11	0.0014	government
144	896	+	33.54	0.0013	other
145	882	+	32.92	0.0013	rbr
146	869	+	32.35	0.0013	uh
147	856	+	31.77	0.0013	clinton
148	684	+	31.75	0.001	things
149	826	+	30.45	0.0012	take
150	825	+	30.41	0.0012	over
151	647	+	30.03	0.001	does
152	815	+	29.97	0.0012	where
153	634	+	29.42	0.001	done
154	625	+	29.01	0.0009	made
155	793	+	29	0.0012	new
156	792	+	28.96	0.0012	into
157	775	+	28.21	0.0012	down
158	771	+	28.04	0.0012	back
159	604	+	28.03	0.0009	taxes
160	763	+	27.69	0.0011	then
161	762	+	27.64	0.0011	good
162	762	+	27.64	0.0011	vice
163	752	+	27.2	0.0011	two
164	751	+	27.16	0.0011	plan
165	585	+	27.15	0.0009	lehrer
166	745	+	26.9	0.0011	work
167	737	+	26.55	0.0011	any
168	736	+	26.5	0.0011	look
169	735	+	26.46	0.0011	last
170	718	+	25.72	0.0011	year
171	711	+	25.41	0.0011	care
172	710	+	25.37	0.0011	administration
173	709	+	25.33	0.0011	percent
174	534	+	24.78	0.0008	d
175	687	+	24.37	0.001	could
176	681	+	24.11	0.001	health
177	681	+	24.11	0.001	why
178	509	+	23.62	0.0008	obama
179	664	+	23.37	0.001	security
180	659	+	23.15	0.001	money
181	484	+	22.46	0.0007	mccain
182	638	+	22.24	0.001	trump
183	637	+	22.2	0.001	sure
184	627	+	21.77	0.0009	cut
185	622	+	21.55	0.0009	war
